Species	Fruiting_body_type3	Fruiting_body_type1	Fruiting_body_type2	corrected
Inocybe_fastigiella	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_maculata	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_cf._lanatodisca_JQ319694	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_sp._P38_AJ534929	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_sp._AY380402	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_lanatodisca_JQ319690	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_aff._lanatodisca_JN975026	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_bicolorata_GQ892938	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_jurana	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_adaequata	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_erubescens	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_rimosoides_AY702014	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_cookei	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_reisneri_G0928_NL2164	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_sp_G1842_HCC46	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_sp._EU600885	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_sp._EU600870	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_afromelliolens_PC_96013_EU60088	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_regisii_nom_prov_JN975027	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tubariomyces_sp._1_RFS0805_GU907092	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tubariomyces_similis_JX244265	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tubariomyces_hygrophoroides	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tubariomyces_inexpectatus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Auritella_chamaecephala	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Auritella_dolichocystis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Auritella_aureoplumosa	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Auritella_geoaustralis	NA	Gasteroid	Gasteroid	Gasteroid
Auritella_serpentinocystis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_malenconii	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Mallocybe_dulcamara	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Mallocybe_agardhii	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Mallocybe_leucoblema	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Mallocybe_terrigena	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_heimii_G0256_NL0874	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Mallocybe_unicolor	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
